symbol,year_report,length_report,update_date,revenue,revenue_growth,net_profit,net_profit_growth,ebit_margin,roe,roic,roa,pe,pb,eps,current_ratio,cash_ratio,quick_ratio,interest_coverage,ae,fae,net_profit_margin,gross_margin,ev,issue_share,ps,pcf,bvps,ev_per_ebitda,at,fat,acp,dso,dpo,eps_ttm,charter_capital,rtq4,charter_capital_ratio,rtq10,dividend,ebitda,ebit,le,de,ccc,rtq17
NLS,2024.0,5.0,1749144359767.0,155397641489.0,0.09977947345899632,14959966208.0,0.5979593425188868,0.10738549705840446,0.2033918573,0.2129326871,0.1004926773,2.189101941,0.3157068319,2986.140406403449,1.1234915723,0.6495465164,0.8885269365,-138.2812351259209,1.8721493746585234,0.8100420721558155,0.09626893989288092,0.2671334788304266,24548020000.0,5009800.0,0.1579690642,7.0059498392,15520.7284236896,-0.4678927109,1.0438743521,2.3513653316,33.25140225017946,14.7820174983,29.182944003,2238.3608128069,50098000000.0,0.0006069648,1.552072842368957,0.8721493747,0.2653061224,40300279065,16687452973.0,0.0085018284,0.8721493747,77.21636375147946,24.6921639784
TSB,2025.0,5.0,1769445715137.0,196919023047.0,0.04889464576627918,2086095360.0,-0.5999641519065417,0.00890303768507366,0.0264284557,0.0151221499,0.0173196644,82.1320037834,2.2119350609,309.25825293381644,2.1992928731,0.1112003892,0.4293566335,-1.3533801002473362,1.605054725189506,0.26148442540411637,0.01085015052843638,0.11717972202963925,171335192000.0,6745480.0,0.8911446043,-13.4865484173,11483.1580949021,28.7655275574,1.5962602899,9.6394565089,33.763087037680144,113.4915049439,12.9259068871,309.2582529338,67454800000.0,0,1.1483158094902068,0.6050547252,0.0,7018251982,1711735294.0,0.4613318919,0.6050547252,160.18049886868016,3.216099744
CII,2025.0,5.0,1770022800970.0,3068908653925.0,-0.03569125592842513,132899164240.0,-0.48333342808490254,0.370559349166352,0.0177611065,0.0341911256,0.0035789462,83.7704101261,1.2459620199,212.48553007209503,1.2404235398,0.1540565215,0.5807295282,-0.8538330275350435,3.1374986590507596,1.3097453247846138,0.04480810198619782,0.5601348479520388,11133017493800.0,625450421.0,3.7535930804,-24.5691628774,14286.1497506738,15.2598653379,0.0798727461,0.1857420565,79.41273107191984,677.5824645256,164.8046266189,212.4855300721,6719852910000.0,1.355419358,1.7807632346013658,2.1374986591,0.0,2001863144789,1099065249867.0,3.0416551456,2.1374986591,921.7998222164198,0.53867982
TMT,2025.0,5.0,1770048771657.0,2113674471089.0,-0.09594708807171666,62776791062.0,1.193039420741693,0.044061057044011046,0.4367455445,0.1129171323,0.0421493579,7.1870657988,2.5763206772,1683.579966948869,1.0073799005,0.1168593331,0.5948326516,-2.681474881389579,8.636276624182326,1.084912427748956,0.029802030632740135,0.102718456506453,451180928000.0,37287680.0,0.2141891551,-2.5239527737,4696.6203030867,8.4887807469,1.4143116082,10.827841158,13.75453815049382,92.2216745001,84.8771564675,1683.5799669489,372876800000.0,1.1192440832,0.46983944581427434,7.6362766242,0.0,114055226551,92812862523.0,4.8109792402,7.6362766242,190.8533691180938,3.9578548316
HAN,2025.0,5.0,1770291573770.0,3266301609342.0,0.25745697866184764,51610820573.0,-0.030105534350674513,0.007339344744338228,0.0345942536,0.0090506119,0.0077357309,24.0496544372,0.8296169727,365.909623482786,1.1300659969,0.0945155474,0.7806487928,-0.43143674873076754,4.204826539722907,0.02785166051300045,0.015802973262505265,0.04085202092845544,1241222400000.0,141048000.0,0.380056046,-7.8226836604,10607.3046833702,27.0767699424,0.4895111049,67.3483911625,225.76806281361254,184.0078575894,138.7698026605,365.9096234828,1410480000000.0,0.0479272267,1.1656059006834554,3.2048265397,0.0,65314980572,23969515004.0,0.658805172,3.2048265397,548.5457230635126,1.9836109435
DDM,2025.0,5.0,1770049555730.0,216483274442.0,-0.16351642709013955,89514553583.0,4.222021884036684,-0.15607099976239558,-0.1164882657,0.1025623206,0.235420489,0.2598967382,0.0,7310.595788801416,1.1350501211,0.0700574453,0.4736977365,1.9837318172921816,-0.47032168809091096,-0.10706707345794017,0.4134940854610117,-0.06164025566591813,23264540500.0,12244495.0,0.1074657641,2.0431414338,0.0,301.3459470743,0.5693442718,2.2828061405,48.830405724592595,12.4512271784,50.3701234611,7310.5957888014,1224449500000.0,-0.5103208518,-0.5892999266625533,-1.4703216881,0.0,1365068125,-33786761074.0,-1.0537780954,-1.4703216881,111.65175636409259,29.3143796006
NET,2025.0,5.0,1768986001213.0,1630973460277.0,-0.04273830962907312,158682736144.0,-0.23202319922239534,0.11587783789189644,0.2963408978,0.2437941493,0.1538799837,9.5842158483,2.8058905625,7084.564984226087,1.5340252413,0.5225811774,0.6233000475,-21.839019469931515,1.985380938544858,0.3680590716966304,0.09800014896340394,0.22608224476666533,1520849594600.0,22398374.0,0.9392545808,7.3596013623,24199.0906232747,7.0037656496,1.5702015287,8.0355670149,10.876374450808417,60.4847888139,63.855017886,7084.5649842261,223983740000.0,0,2.419909062327471,0.9853809385,0.0,209870074319,187630453317.0,0.419922074,0.9853809385,135.21618115070842,6.0345750916
DSE,2025.0,5.0,1768554996293.0,1457912226141.0,0.8056609029197305,272529626638.0,0.4993051044432613,0.2738701196593054,0.0654165566,0.0292486177,0.0211456055,30.2963758541,1.9191136809,795.4746837069468,1.2900551674,0.2729273811,0.3086417419,-5.974806671447328,3.51884382880534,0.024591579454605172,0.1869314364413888,0.39829754219156954,8256660000000.0,342600000.0,5.6633450574,-1.7743519082,12557.8803590047,39.3265459286,0.1131195798,14.4340064007,,0,1.2020312508,795.4746837069,3426000000000.0,0.0062859811,1.255788035900467,2.5188438288,0.0290456432,434692301796,399278595826.0,2.1792634153,2.5188438288,,0
SGH,2025.0,5.0,1768991886490.0,49560792656.0,0.09354571231603682,16265743684.0,0.5301320078224091,0.2585119061337073,0.1143567816,0.0881670199,0.0961342991,14.3664805336,1.6080949249,1315.5622879142031,5.7234522599,0.3731383588,0.4954022258,,1.1880044939696082,0.1583324905483466,0.328197811461573,0.4795715439616273,233681490000.0,12364100.0,4.7150474695,32.6784701227,11753.0375271957,15.3349778507,0.2929157225,2.064265845,22.904317827673125,4.9673304589,6.8195898928,1315.5622879142,123641000000.0,0,1.175303752719567,0.188004494,0.0,14851486789,12812054979.0,0,0.188004494,34.69123817937313,73.4801123091
TOT,2025.0,5.0,1768989500190.0,290194140421.0,0.1374384855129736,24716102598.0,0.06882273657941752,0.10524054045920339,0.1785273559,0.1534389171,0.1006184569,5.9234536359,1.0339711864,2684.2448641060523,1.4077089722,0.0848682305,1.0269776317,-9.650775131483496,1.872976872443296,0.7728205115695593,0.0851709223423431,0.203811960945163,146404687800.0,9207842.0,0.5045060096,79.5120641421,15377.6045299213,3.8177377186,1.1813709912,2.4930958332,60.394960764443034,0.4914642734,67.3384437853,2684.2448641061,92078420000.0,0.14311285,1.5377604529921343,0.8729768724,0.0,51097677801,30540188176.0,0.5488031161,0.8729768724,128.22486882314303,742.678602958
L45,2024.0,5.0,1749147389920.0,34820859030.0,-0.2401018320339619,-26281416053.0,-2.069886966097161,-0.48278653661348225,2.4431596351,-0.1837444319,-0.0516023777,-0.3104855531,0.0,-5475.295011041667,0.7820198806,0.0032142169,0.3224418295,1.880186930583772,-20.818301300575214,-0.2563321149673644,-0.7547607033576391,-0.354741758879577,8160000000.0,4800000.0,0.2343422945,2.3267175958,0.0,-7.9911119091,0.0683691896,5.0423757209,974.6560098946351,1916.8448746022,419.6883180272,-5475.2950110417,48000000000.0,0,-0.49787188347916667,-21.8183013006,0.0,-15251324079,-16811041933.0,-4.8284378919,-21.8183013006,3311.189202524035,0.190417078
VC5,2021.0,5.0,1648934179350.0,1493533881.0,-0.651662697380263,-82121310288.0,-7.870884751650182,0.2480280800539804,0.2963191407,-0.0081069672,-0.2795754435,-0.0547969825,0.0,-16424.2620576,0.4673791869,0.0121364547,0.3113599615,-0.004436578128905398,-0.9202406024311891,-0.02409540931112808,-54.984564684274474,0.4749474893231431,4500000000.0,5000000.0,3.0129882269,0.8241860826,0.0,409.925011243,0.0050846168,0.2288995818,32274.297218335796,44052.5457329059,38450.8363461052,-16424.2620576,50000000000.0,0,-6.36397420106,-1.9202406024,0.0,657682058,370438341.0,-0.8563984597,-1.9202406024,114777.67929734688,0.0082855598
RCD,2022.0,5.0,1683299588413.0,555000000.0,-0.7271712576380908,1282160489.0,1.7038864056676128,-0.29309927387387386,0.0227887797,-0.0028586821,0.0138042855,8.2673924918,0.1862812255,241.91424345601996,14.9351144612,0.1929573332,13.8444471253,,1.6401819444166705,0.0,2.3101990792792795,1,10600124000.0,5300062.0,19.0993225225,-7.1635438542,10736.4550246771,-62.8862766093,0.0059753662,0,1357.3999865003038,0,0,241.914243456,53000620000.0,0,1.073645502467707,0.6401819444,0.0,-162670097,-162670097.0,0,0.6401819444,1357.3999865003038,0
DNA,2025.0,5.0,1769010072527.0,2752010029424.0,0.046229959357522464,163494880098.0,0.037706513523723034,0.0769208020296737,0.1910780403,0.1842958266,0.1020506858,8.6478067745,1.6336785659,2902.470031378015,1.0461822681,0.3382094565,0.8244651581,-10.306002819046935,1.909943715191419,1.1281907118742898,0.059409260267928504,0.19053866400216218,1413872131700.0,56329567.0,0.5137598034,9.6346190551,15364.0994767987,4.8406639251,1.7177572199,2.8086600408,30.492515317854103,6.8577071436,27.8691952419,2902.470031378,563295670000.0,0.2154700937,1.5364099476798747,0.9099437152,0.0,317181815398,211686818657.0,0.5426652631,0.9099437152,65.21941770335411,53.2247867042
VSC,2025.0,5.0,1770048312827.0,3205511845727.0,0.14978917552230997,340980036091.0,0.014338818981914851,0.2123910814697338,0.0686382202,0.0578924723,0.0328528183,25.801227567,1.6248223089,910.8093767609734,1.3009816142,0.6149681448,1.1459790017,-2.4801050317688467,2.0297038813504344,0.5503175859402627,0.10637303884730047,0.3558512319262062,8797703507000.0,374370362.0,2.7445549823,14.0196750067,14463.1199801335,12.4745693732,0.308845349,0.8996563082,25.684312070188344,8.5751949134,22.6083535875,910.809376761,3743703620000.0,0.4686416066,1.7059579915191043,1.0297038814,0.0,1062594902418,680822127578.0,1.3100146208,1.0297038814,56.86786057108834,42.5646301553
RAL,2025.0,5.0,1770054413380.0,6441201673780.0,-0.2344581688939323,361133223561.0,-0.391095290042204,0.07935583924296348,0.1077650523,0.0796149634,0.0440710646,5.9661883702,0.6339489931,15336.424920327787,1.5760424234,0.3955405528,1.055701724,-4.814815035236389,2.3773400919985628,0.10876279702564821,0.056785912807552415,0.22515279794651952,2154588838500.0,23547419.0,0.3387954526,1.5932911195,144333.378553038,5.3039604929,0.776091506,18.5588167019,206.00448365214262,148.3054145185,53.17742589,15336.4249203278,235474190000.0,0.0002464153,14.433337855303803,1.377340092,0.0273224044,611527999050,504667946984.0,0.8653413101,1.377340092,407.4873240606426,2.4611373845
CC1,2025.0,5.0,1770223627790.0,11810704705138.0,0.16234177209703474,233629194397.0,0.020967072771679484,0.02395272403482672,0.0543278168,0.0252872197,0.0138079126,67.3426419785,3.5629247284,587.146551402454,1.3641983339,0.2312390545,1.0368027208,-0.7438223335461964,3.780683297823919,0.04100800472469279,0.01978113924864826,0.0471874524009182,15733207194000.0,397906100.0,1.3321141783,-4.7305614589,11097.6242873532,58.2824109244,0.698034244,60.3258522904,69.90569500554473,65.4912777881,75.5220823396,587.1465514025,3979061000000.0,0.3594969718,1.1374886850432804,2.7806832978,0.0,344889746373,282898550459.0,1.8312322637,2.7806832978,210.91905513324474,5.5732612392
