owner_type,ownership_percentage,shares_owned,update_date,symbol
Cá nhân trong nước,3.5,332290,2024-12-31T00:00:00,NNT
Tổ chức trong nước,44.14,4189696,2024-12-31T00:00:00,NNT
Cá nhân nước ngoài,0.01,600,2024-12-31T00:00:00,NNT
Tổ chức nước ngoài,0.29,27700,2024-12-31T00:00:00,NNT
Cá nhân trong nước,63.98,47694357,2023-09-20T00:00:00,LSS
Tổ chức trong nước,34.99,26085681,2023-09-20T00:00:00,LSS
Cá nhân nước ngoài,0.3,227058,2023-09-20T00:00:00,LSS
Tổ chức nước ngoài,0.73,540897,2023-09-20T00:00:00,LSS
CĐ cá nhân,79.49,2394674,2024-12-31T00:00:00,SIV
CĐ tổ chức,20.51,617700,2024-12-31T00:00:00,SIV
Cá nhân trong nước,99.9,1198800,2019-12-31T00:00:00,PRC
Cá nhân nước ngoài,0.1,1200,2019-12-31T00:00:00,PRC
CĐ lớn trong nước,24.17,12084310,2024-11-21T00:00:00,VRC
CĐ khác trong nước,75.69,37843228,2024-11-21T00:00:00,VRC
CĐ khác nước ngoài,0.14,72462,2024-11-21T00:00:00,VRC
CĐ lớn,46.54,63400650,2024-12-31T00:00:00,FRT
CĐ khác trong nước,17.54,23897899,2024-12-31T00:00:00,FRT
CĐ khác nước ngoài,35.92,48943840,2024-12-31T00:00:00,FRT
CĐ Nhà nước,51.06,16850000,2024-12-31T00:00:00,SKH
CBCNV công ty,1.27,419160,2024-12-31T00:00:00,SKH
CĐ lớn trong nước,10.0,3300000,2024-12-31T00:00:00,SKH
Cá nhân trong nước,34.37,11340840,2024-12-31T00:00:00,SKH
Tổ chức trong nước,3.26,1074900,2024-12-31T00:00:00,SKH
Cá nhân nước ngoài,0.01,4300,2024-12-31T00:00:00,SKH
Tổ chức nước ngoài,0.03,10800,2024-12-31T00:00:00,SKH
CĐ trong nước,79.83,36991707,2024-12-31T00:00:00,PMG
CĐ nước ngoài,20.17,9344571,2024-12-31T00:00:00,PMG
