id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity,symbol
12,Vũ Văn Cường,Thành viên Hội đồng Quản trị,TV HĐQT,2025-03-06,0.0,0,MBN
7,VŨ ĐĂNG THÀNH,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,2025-02-19,0.0,0,MBN
11,Vũ Thị Nhuận,Thành viên Ban kiểm soát,TV BKS,2025-02-19,0.0,0,MBN
5,Hồ Xuân Năng,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2026-02-02,0.0374,5983581,VCS
6,Phạm Trí Dũng,Phó Tổng Giám đốc,Phó TGĐ,2026-02-02,0.0022,353391,VCS
9,Lưu Công An,Phó Tổng Giám đốc,Phó TGĐ,2026-02-02,0.0013,206261,VCS
4,Phạm Anh Tuấn,Tổng Giám đốc/Thành viên Hội đồng Quản trị/Phụ trách Công bố thông tin,TGĐ/TV HĐQT/Phụ trách CBTT,2024-04-24,0.0001,19842,VCS
10,Nguyễn Chí Công,Phó Tổng Giám đốc,Phó TGĐ,2026-02-02,0.0001,8975,VCS
1,Phạm Thị Bích Thủy,Phó Tổng Giám đốc,Phó TGĐ,2020-06-10,0.0,0,VCS
11,Đồng Quang Thức,Phó Tổng Giám đốc,Phó TGĐ,2026-02-02,0.0,10,VCS
2,Nguyễn Thị Nga,Kế toán trưởng,Kế toán trưởng,2022-09-06,0.0,0,VCS
3,Nguyễn Diệu Thúy Ngọc,Thành viên Ban Kiểm toán nội bộ/Thành viên Hội đồng Quản trị độc lập,Thành viên BKT nội bộ/Thành viên HĐQT độc lập,2024-02-05,0.0,0,VCS
7,Trần Lan Phương,Thành viên Hội đồng Quản trị,TV HĐQT,2026-02-02,0.0,0,VCS
8,Nguyễn Quang Hưng,Trưởng Ban Kiểm toán nội bộ /Thành viên Hội đồng Quản trị độc lập,Trưởng BKT nội bộ /Thành viên HĐQT độc lập,2026-02-02,0.0,0,VCS
5,Nguyễn Anh Tuấn,Thành viên Hội đồng Quản trị/Tổng Giám đốc,TV HĐQT/TGĐ,2025-08-13,0.0012591,564500,VGC
6,Nguyễn Minh Khoa,Phó Tổng Giám đốc,Phó TGĐ,2025-10-01,0.0002275,102000,VGC
7,Quách  Hữu Thuận,Phó Tổng Giám đốc,Phó TGĐ,2025-12-12,2.01e-05,9000,VGC
4,Nguyễn Văn Tuấn,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-06-12,0.0,0,VGC
8,Trần Thị Minh Loan,Giám đốc Tài chính,GĐ Tài chính,2026-02-03,0.0,0,VGC
9,Nguyễn  Trọng Hiền,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2026-02-03,0.0,0,VGC
10,Trần Ngọc Anh,Phó Tổng Giám đốc/Thành viên Hội đồng Quản trị,Phó TGĐ/TV HĐQT,2026-02-03,0.0,0,VGC
11,Nguyễn Thị Cẩm Vân,Thành viên Ban kiểm soát,TV BKS,2026-02-03,0.0,0,VGC
12,Ngô Trọng Toán,Kế toán trưởng,Kế toán trưởng,2026-02-03,0.0,0,VGC
13,Nguyễn Anh Tuấn,Người phụ trách quản trị công ty/Phụ trách Công bố thông tin/Phó Tổng Giám đốc,Người phụ trách quản trị công ty/Phụ trách CBTT/Phó TGĐ,2026-02-03,0.0,0,VGC
14,Trần Mạnh Hữu,Trưởng Ban kiểm soát,Trưởng BKS,2026-02-04,0.0,0,VGC
1,Đỗ Thị Phương Lan,Thành viên Hội đồng Quản trị,TV HĐQT,2019-06-27,0.0,0,VGC
