time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-04-23,6.7,6.88,6.68,6.72,133200,6.650999999999999,6.963399999999999,6.97,48.442352726551555,-0.06572713305561262,-0.11233575407567821,0.04660862102006559,7.283485489744099,6.018514510255899,0.5988023952095745,2.9861359194035018,APH
2025-04-24,6.72,6.77,6.67,6.75,159800,6.6425,6.952399999999999,6.96576923076923,49.72507327554622,-0.05562338126969113,-0.10099327951448081,0.04536989824478968,7.264242034846228,6.020757965153772,0.44642857142858094,2.9869091355027297,APH
2025-04-25,6.75,6.75,6.68,6.73,278500,6.6325,6.941999999999999,6.961320754716981,48.85246590741526,-0.048668893331777596,-0.09052840227794018,0.04185950894616258,7.241066045371363,6.023933954628638,-0.2962962962962945,2.9867793660137205,APH
2025-04-28,6.72,6.74,6.7,6.7,103500,6.6225,6.9312000000000005,6.9564814814814815,47.505781434728505,-0.04505875157607164,-0.08143447213756647,0.03637572056149482,7.219011790151264,6.025988209848736,-0.4457652303120341,2.9868553971451846,APH
2025-04-29,6.65,6.7,6.62,6.62,114600,6.609,6.9176,6.950363636363636,44.02087257267285,-0.04809856927087619,-0.07476729156422843,0.026668722293352237,7.192091578976815,6.025908421023185,-1.1940298507462699,2.9968027132101143,APH
2025-05-05,6.68,6.68,6.5,6.5,173396,6.586500000000001,6.9014,6.942321428571428,39.35703637196725,-0.05950471055004414,-0.07171477536139158,0.01221006481134744,7.1485367097956205,6.024463290204381,-1.812688821752273,3.008426980011667,APH
2025-05-06,6.52,6.57,6.42,6.5,196700,6.563000000000001,6.881799999999999,6.934561403508772,39.357036371967254,-0.06776302966563108,-0.07092442622223949,0.003161396556608409,7.096078447865732,6.029921552134269,0.0,3.006201060122256,APH
2025-05-07,6.5,6.54,6.41,6.41,158992,6.559,6.8628,6.9255172413793105,36.036152503199325,-0.08064048162609794,-0.07286763730301118,-0.007772844323086753,7.095573926824029,6.022426073175971,-1.3846153846153841,2.5959939328124206,APH
2025-05-08,6.5,6.5,6.4,6.46,205006,6.567,6.846799999999999,6.917627118644067,39.11004807891866,-0.08582206955380123,-0.0754585237531692,-0.010363545800632035,7.091960148863442,6.0420398511365585,0.7800312012480548,2.5091276082451914,APH
2025-05-09,6.45,6.49,6.36,6.36,310800,6.589499999999999,6.8296,6.908333333333333,35.441598830522935,-0.09688089690965107,-0.07974299838446558,-0.01713789852518549,7.027220170164012,6.151779829835987,-1.5479876160990669,2.0669621566802348,APH
2025-05-12,6.35,6.48,6.35,6.4,169215,6.614,6.813599999999999,6.8999999999999995,37.94879912878223,-0.10125028134047742,-0.08404445497566795,-0.017205826364809468,6.9293210561016245,6.298678943898375,0.6289308176100628,2.065543068007004,APH
2025-05-13,6.45,6.49,6.35,6.4,210200,6.618,6.7976,6.891935483870968,37.94879912878223,-0.10351973887072052,-0.08793951175467847,-0.015580227116042053,6.919337369946556,6.316662630053445,0.0,1.3829684654583634,APH
2025-05-14,6.41,6.55,6.4,6.52,521600,6.6145,6.784800000000001,6.886031746031746,45.335226606066854,-0.09454544219076055,-0.0892606978418949,-0.005284744348865653,6.918818046924926,6.310181953075073,1.8749999999999822,1.0677367445375767,APH
2025-05-15,6.54,6.58,6.44,6.51,277000,6.6049999999999995,6.771,6.88015625,44.85603569361969,-0.08723457792935907,-0.08885547385938775,0.0016208959300286763,6.909941754576511,6.300058245423488,-0.15337423312883347,0.9882889127007359,APH
2025-05-16,6.54,6.54,6.42,6.44,258900,6.589,6.7543999999999995,6.873384615384615,41.54563257971996,-0.08609661216410824,-0.08830370152033185,0.0022070893562236016,6.893278265996581,6.28472173400342,-1.075268817204289,0.9778981047849953,APH
