last_updated,group_name,name,value,unit,source
2021-01-28,Tổng FDI,Giải ngân,1.51,Tỷ USD,Cục Đầu tư nước ngoài
2021-03-08,Tổng FDI,Đăng ký,3.44,Tỷ USD,Cục Đầu tư nước ngoài
2021-03-08,Tổng FDI,Giải ngân,0.99,Tỷ USD,Cục Đầu tư nước ngoài
2021-05-02,Tổng FDI,Đăng ký,4.67,Tỷ USD,Cục Đầu tư nước ngoài
2021-05-02,Tổng FDI,Giải ngân,1.6,Tỷ USD,Cục Đầu tư nước ngoài
2021-05-02,Tổng FDI,Đăng ký,2.12,Tỷ USD,Cục Đầu tư nước ngoài
2021-05-02,Tổng FDI,Giải ngân,1.4,Tỷ USD,Cục Đầu tư nước ngoài
2021-05-30,Tổng FDI,Đăng ký,1.75,Tỷ USD,Cục Đầu tư nước ngoài
2021-05-30,Tổng FDI,Giải ngân,1.65,Tỷ USD,Cục Đầu tư nước ngoài
2021-06-29,Tổng FDI,Giải ngân,2.09,Tỷ USD,Cục Đầu tư nước ngoài
2021-06-29,Tổng FDI,Đăng ký,1.27,Tỷ USD,Cục Đầu tư nước ngoài
2021-09-16,Tổng FDI,Đăng ký,1.43,Tỷ USD,Cục Đầu tư nước ngoài
2021-09-16,Tổng FDI,Giải ngân,1.26,Tỷ USD,Cục Đầu tư nước ngoài
2021-09-16,Tổng FDI,Đăng ký,2.4,Tỷ USD,Cục Đầu tư nước ngoài
2021-09-16,Tổng FDI,Giải ngân,1.08,Tỷ USD,Cục Đầu tư nước ngoài
2021-10-28,Tổng FDI,Đăng ký,3.05,Tỷ USD,Cục Đầu tư nước ngoài
2021-10-28,Tổng FDI,Giải ngân,1.7,Tỷ USD,Cục Đầu tư nước ngoài
2021-10-28,Tổng FDI,Đăng ký,1.59,Tỷ USD,Cục Đầu tư nước ngoài
2021-10-28,Tổng FDI,Giải ngân,1.87,Tỷ USD,Cục Đầu tư nước ngoài
2021-11-28,Tổng FDI,Đăng ký,2.72,Tỷ USD,Cục Đầu tư nước ngoài
2021-11-28,Tổng FDI,Giải ngân,1.95,Tỷ USD,Cục Đầu tư nước ngoài
2022-01-06,Tổng FDI,Đăng ký,4.69,Tỷ USD,Cục Đầu tư nước ngoài
2022-01-06,Tổng FDI,Giải ngân,2.64,Tỷ USD,Cục Đầu tư nước ngoài
2022-02-28,Tổng FDI,Đăng ký,2.1,Tỷ USD,Cục Đầu tư nước ngoài
2022-02-28,Tổng FDI,Giải ngân,1.61,Tỷ USD,Cục Đầu tư nước ngoài
