last_updated,group_name,name,value,unit,source,report_type
2017-12-10,Giá trị GDP (2010),Công nghiệp,206847.0,Tỷ VNĐ,,Quý 1
2017-12-10,Giá trị GDP (2010),Dịch vụ,244194.0,Tỷ VNĐ,,Quý 1
2017-12-10,Giá trị GDP (2010),GDP thực,593170.0,Tỷ VNĐ,,Quý 1
2017-12-10,Giá trị GDP (2010),Nông nghiệp,49119.0,Tỷ VNĐ,,Quý 1
2017-12-10,Giá trị GDP hiện hành,Công nghiệp,317290.0,Tỷ VNĐ,Tổng cục thống kê,Quý 1
2017-12-10,Giá trị GDP hiện hành,Dịch vụ,409867.0,Tỷ VNĐ,Tổng cục thống kê,Quý 1
2017-12-10,Giá trị GDP hiện hành,GDP danh nghĩa,931607.0,Tỷ VNĐ,Tổng cục thống kê,Quý 1
2017-12-10,Giá trị GDP hiện hành,Nông nghiệp,72411.0,Tỷ VNĐ,Tổng cục thống kê,Quý 1
2017-12-10,Tăng trưởng thực của GDP,Công nghiệp,4.17,%,Tổng cục thống kê,Quý 1
2017-12-10,Tăng trưởng thực của GDP,Dịch vụ,6.52,%,Tổng cục thống kê,Quý 1
2017-12-10,Tăng trưởng thực của GDP,Nông nghiệp,1.38,%,Tổng cục thống kê,Quý 1
2017-12-10,Tăng trưởng thực của GDP,Tổng GDP,5.1,%,Tổng cục thống kê,Quý 1
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,,%,Tổng cục thống kê,Quý 2
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,,%,Tổng cục thống kê,Quý 2
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,,%,Tổng cục thống kê,Quý 2
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,,%,Tổng cục thống kê,Quý 3
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,,%,Tổng cục thống kê,Quý 3
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,,%,Tổng cục thống kê,Quý 3
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,,%,Tổng cục thống kê,Quý 4
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,,%,Tổng cục thống kê,Quý 4
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,,%,Tổng cục thống kê,Quý 2
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,,%,Tổng cục thống kê,Quý 2
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,,%,Tổng cục thống kê,Quý 2
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,,%,Tổng cục thống kê,Quý 3
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,,%,Tổng cục thống kê,Quý 3
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,,%,Tổng cục thống kê,Quý 3
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,,%,Tổng cục thống kê,Quý 4
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,,%,Tổng cục thống kê,Quý 4
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,,%,Tổng cục thống kê,Quý 2
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,,%,Tổng cục thống kê,Quý 2
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,,%,Tổng cục thống kê,Quý 2
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,,%,Tổng cục thống kê,Quý 3
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,,%,Tổng cục thống kê,Quý 3
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,,%,Tổng cục thống kê,Quý 3
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,,%,Tổng cục thống kê,Quý 4
2017-12-17,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,,%,Tổng cục thống kê,Quý 4
2017-12-17,Giá trị GDP (2010),Công nghiệp,228346.0,Tỷ VNĐ,,Quý 2
2017-12-17,Giá trị GDP (2010),Công nghiệp,245730.0,Tỷ VNĐ,,Quý 2
2017-12-17,Giá trị GDP (2010),Công nghiệp,189759.0,Tỷ VNĐ,,Quý 2
2017-12-17,Giá trị GDP (2010),Công nghiệp,136556.0,Tỷ VNĐ,,Quý 3
2017-12-17,Giá trị GDP (2010),Công nghiệp,263235.0,Tỷ VNĐ,,Quý 3
2017-12-17,Giá trị GDP (2010),Công nghiệp,235636.0,Tỷ VNĐ,,Quý 3
2017-12-17,Giá trị GDP (2010),Công nghiệp,432865.0,Tỷ VNĐ,,Quý 4
2017-12-17,Giá trị GDP (2010),Công nghiệp,350084.0,Tỷ VNĐ,,Quý 4
2017-12-17,Giá trị GDP (2010),Dịch vụ,242717.0,Tỷ VNĐ,,Quý 2
2017-12-17,Giá trị GDP (2010),Dịch vụ,258729.0,Tỷ VNĐ,,Quý 2
2017-12-17,Giá trị GDP (2010),Dịch vụ,278136.0,Tỷ VNĐ,,Quý 2
2017-12-17,Giá trị GDP (2010),Dịch vụ,290347.0,Tỷ VNĐ,,Quý 3
2017-12-17,Giá trị GDP (2010),Dịch vụ,310749.0,Tỷ VNĐ,,Quý 3
2017-12-17,Giá trị GDP (2010),Dịch vụ,334750.0,Tỷ VNĐ,,Quý 3
2017-12-17,Giá trị GDP (2010),Dịch vụ,351568.0,Tỷ VNĐ,,Quý 4
2017-12-17,Giá trị GDP (2010),Dịch vụ,379087.0,Tỷ VNĐ,,Quý 4
2017-12-17,Giá trị GDP (2010),GDP thực,690305.0,Tỷ VNĐ,,Quý 2
2017-12-17,Giá trị GDP (2010),GDP thực,728713.0,Tỷ VNĐ,,Quý 2
2017-12-17,Giá trị GDP (2010),GDP thực,775495.0,Tỷ VNĐ,,Quý 2
2017-12-17,Giá trị GDP (2010),GDP thực,729625.0,Tỷ VNĐ,,Quý 3
2017-12-17,Giá trị GDP (2010),GDP thực,777912.0,Tỷ VNĐ,,Quý 3
2017-12-17,Giá trị GDP (2010),GDP thực,836270.0,Tỷ VNĐ,,Quý 3
2017-12-17,Giá trị GDP (2010),GDP thực,921353.0,Tỷ VNĐ,,Quý 4
2017-12-17,Giá trị GDP (2010),GDP thực,983590.0,Tỷ VNĐ,,Quý 4
2017-12-17,Giá trị GDP (2010),Nông nghiệp,143003.0,Tỷ VNĐ,,Quý 2
2017-12-17,Giá trị GDP (2010),Nông nghiệp,143095.0,Tỷ VNĐ,,Quý 2
2017-12-17,Giá trị GDP (2010),Nông nghiệp,117499.0,Tỷ VNĐ,,Quý 2
2017-12-17,Giá trị GDP (2010),Nông nghiệp,35340.0,Tỷ VNĐ,,Quý 3
2017-12-17,Giá trị GDP (2010),Nông nghiệp,114837.0,Tỷ VNĐ,,Quý 3
2017-12-17,Giá trị GDP (2010),Nông nghiệp,83555.0,Tỷ VNĐ,,Quý 3
2017-12-17,Giá trị GDP (2010),Nông nghiệp,106641.0,Tỷ VNĐ,,Quý 4
2017-12-17,Giá trị GDP (2010),Nông nghiệp,30340.0,Tỷ VNĐ,,Quý 4
2017-12-17,Giá trị GDP hiện hành,Công nghiệp,313596.0,Tỷ VNĐ,Tổng cục thống kê,Quý 2
2017-12-17,Giá trị GDP hiện hành,Công nghiệp,328145.0,Tỷ VNĐ,Tổng cục thống kê,Quý 2
2017-12-17,Giá trị GDP hiện hành,Công nghiệp,357152.0,Tỷ VNĐ,Tổng cục thống kê,Quý 2
2017-12-17,Giá trị GDP hiện hành,Công nghiệp,205693.0,Tỷ VNĐ,Tổng cục thống kê,Quý 3
2017-12-17,Giá trị GDP hiện hành,Công nghiệp,367494.0,Tỷ VNĐ,Tổng cục thống kê,Quý 3
2017-12-17,Giá trị GDP hiện hành,Công nghiệp,408128.0,Tỷ VNĐ,Tổng cục thống kê,Quý 3
2017-12-17,Giá trị GDP hiện hành,Công nghiệp,593325.0,Tỷ VNĐ,Tổng cục thống kê,Quý 4
2017-12-17,Giá trị GDP hiện hành,Công nghiệp,486323.16,Tỷ VNĐ,Tổng cục thống kê,Quý 4
2017-12-17,Giá trị GDP hiện hành,Dịch vụ,363042.0,Tỷ VNĐ,Tổng cục thống kê,Quý 2
2017-12-17,Giá trị GDP hiện hành,Dịch vụ,400001.0,Tỷ VNĐ,Tổng cục thống kê,Quý 2
