time,open,high,low,close,volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,ADX_14,DMP_14,DMN_14
2025-09-25,35.98,36.12,35.53,35.53,26015893,36.513999999999996,,35.88478257794292,35.100971183690625,51.288393030882645,0.7838113942522966,-0.5764609278003674,1.360272322052664,34.69391868313526,36.513999999999996,38.33408131686473,9.969224499450826,0.22968240735116494,23.26364482706428,15.653408364417738,21.556130629967125,20.68969945933483,24.656562192222466
2025-09-26,35.43,35.48,34.61,34.61,38873142,36.457,,35.68866218133632,35.06460294786169,45.539662178611145,0.6240592334746324,-0.5889704708624253,1.2130297043370577,34.480132781393735,36.457,38.43386721860627,10.844925356481696,0.03284672267918525,24.51662799690641,20.62380301713978,21.31109439888732,19.584269228210058,28.682087745809433
2025-09-29,34.66,34.8,33.89,34.2,34435201,36.3015,,35.4596372303615,35.00055828505712,43.21495802112541,0.459078945304384,-0.6031606072261391,1.062239552530523,34.137113019813675,36.3015,38.46588698018632,11.92450438789759,0.014527665514998107,15.05581390717267,20.945362243714452,21.70752806610491,18.529680018579217,31.39815565271653
2025-09-30,34.25,35.34,33.98,35.12,38252127,36.183,,35.40738534876742,35.00940581949733,49.45061757006264,0.3979795292700885,-0.5314080186083476,0.9293875478784361,34.03239915372469,36.183,38.33360084627531,11.887355090928393,0.2528597643209701,14.5917767842028,18.054739562760627,21.354523839910595,20.21860127368738,28.89397612062836
2025-10-01,35.39,35.71,35.02,35.16,16981130,36.1045,,35.369326064341664,35.020560943979014,49.70919693389985,0.34876512036264984,-0.46449794201262906,0.8132630623752789,33.925073699341944,36.1045,38.28392630065806,12.072879007647566,0.28331453563838754,21.552333628750347,17.066641440041938,20.578092461640928,21.613484482141306,27.6874435579974
2025-10-02,35.21,35.48,34.34,34.48,21173988,35.9495,,35.23250666982756,34.98051939257316,45.45252994962966,0.2519872772544005,-0.44902062809670285,0.7010079053511034,33.77092730210808,35.9495,38.12807269789192,12.120183579142536,0.1627379014200553,23.897911832946548,20.014007415299897,20.491154323157808,20.118720773808928,29.897876504997274
2025-10-03,34.39,34.8,33.89,34.3,25075269,35.865500000000004,,35.089044105238706,34.93011054867885,44.36943847801535,0.15893355655985886,-0.4336594790329956,0.5925930355928545,33.57160832862577,35.865500000000004,38.15939167137424,12.791633583104838,0.1587676699087229,17.556071152358765,21.002105538018554,20.786006381777252,18.989736434192043,30.99509644265441
2025-10-06,35.07,36.66,35.02,36.66,53551974,35.913,,35.330729627509676,35.05825050803597,58.374637490638726,0.27247911947370795,-0.25609113289531726,0.5285702523690252,33.59474117061962,35.913,38.23125882938037,12.91041589051528,0.6611122948250904,37.42312675474908,26.292369913351465,19.115107755357588,27.09535699080547,26.7955237849389
2025-10-07,37.35,37.67,36.94,37.16,40573532,35.905499999999996,,35.612155838662034,35.213935655588855,60.63574179845729,0.3982201830731782,-0.10428005543667762,0.5025002385098558,33.60446132148977,35.905499999999996,38.20653867851022,12.817193346480202,0.7725942879004991,61.69607388152449,38.89175726287744,18.44266116198259,31.380392184793756,25.22059305733994
2025-10-08,38.03,38.71,36.94,37.53,53783538,35.8965,,35.90720878656018,35.38549597739709,62.26908088982463,0.5217128091630912,0.015370056522588271,0.5063427526405029,33.62251429204138,35.8965,38.170485707958626,12.669679260978773,0.8591711228181829,83.69804427428734,60.93908163685364,18.575469155397833,34.11396740078854,22.702303279595558
2025-10-09,37.57,37.62,36.94,37.03,33479352,35.8625,,36.079945896320154,35.50731109018249,58.72310129825803,0.572634806137664,0.05303364279772893,0.5196011633399351,33.679475721619184,35.8625,38.04552427838081,12.174412148516213,0.7674042637917795,75.72394564095805,73.70602126558997,18.69639899777858,32.760579430059636,21.80164508861266
2025-10-10,37.26,37.8,36.98,37.07,29045560,35.855,,36.2322619122709,35.62306582424304,58.9246221609718,0.6091960880278577,0.07167593975033804,0.5375201482775197,33.689724036063744,35.855,38.02027596393625,12.077958242567302,0.780564699427794,68.87966804979254,76.10055265501263,18.935554463869167,32.230962381651416,20.733448358185363
2025-10-13,36.57,37.98,36.44,37.67,42293142,35.864,,36.45345238730614,35.77469057800282,61.92726048933899,0.6787618093033245,0.11299332882064383,0.5657684804826807,33.67030539955989,35.864,38.0576946004401,12.233407318983403,0.911634326774037,69.84785615491012,71.4838232818869,18.563644755861052,29.32499048118876,22.025587797539412
2025-10-14,38.58,39.44,37.35,37.35,65318592,35.884,,36.59138278925904,35.89138016481743,59.43194858821205,0.7000026244416162,0.10738731516714839,0.5926153092744678,33.64425537169969,35.884,38.12374462830031,12.483249516777994,0.827269453284171,68.91356086376835,69.21369502282367,19.24339247359859,34.0441121258391,19.46112539182538
