period,Doanh thu kế hoạch,Lợi nhuận trước thuế kế hoạch,Lợi nhuận sau thuế kế hoạch,Tỷ lệ cổ tức bằng tiền (% VĐL) kế hoạch,Tỷ lệ cổ tức (%) kế hoạch,symbol,Doanh thu thuần kế hoạch,Tỷ lệ cổ tức bằng cổ phiếu (%VĐL) kế hoạch
2024,257000000000,11400000000,,,10,PDB,,
2023,251925000000,6500000000,,,5,PDB,,
2022,374000000000,40900000000,35000000000,,15,PDB,,
2021,518300000000,31000000000,,,,PDB,,
2020,360620000000,21000000000,18130000000,,10,PDB,,
2019,332516000000,21424000000,16923000000,,10,PDB,,
2025,1080340000000,130556000000,99566000000,,9,VTO,,
2024,999084000000,110034000000,84925000000,,9,VTO,,
2023,1172640000000,90292000000,69703000000,,8,VTO,,
2022,896373000000,25337000000,18806000000,,5,VTO,,
2021,1034000000000,90900000000,,,8,VTO,,
2020,1131000000000,70000000000,,,,VTO,,
2019,1429988000000,110799000000,,,9,VTO,,
2025,2257550000000,,,,,CBI,,
2024,3056958000000,,5012000000,,,CBI,,
2023,3413300000000,50200000000,47700000000,,,CBI,,
2022,3538000000000,,88800000000000,,,CBI,,
2021,2935000000000,120328000000,,,,CBI,,
2020,2356800000000,,32968000000,,,CBI,,
2019,2722000000000,,58000000000,,,CBI,,
2025,2649000000000,493500000000,,,5,IMP,,
2024,2630100000000,423000000000,,,,IMP,,
2023,1750000000000,350000000000,,,,IMP,,
2022,1450000000000,275000000000,,,,IMP,,
2021,1530000000000,290000000000,,20,,IMP,,
2020,1750000000000,260000000000,,,,IMP,1750000000000,
2019,1450000000000,220000000000,,,,IMP,,
2025,170000000000,5473000000,4734000000,,,XMD,,
2024,150000000000,4649000000,4649000000,,,XMD,,
2023,140000000000,4023000000,4023000000,,,XMD,,
2022,130000000000,2769000000,2769000000,,,XMD,,
2021,110000000000,2400000000,2400000000,,,XMD,,
2020,115000000000,3500000000,2800000000,,6,XMD,,
2019,218000000000,4625000000,3700000000,,8,XMD,,
2025,500000000000,44125000000,35300000000,,15,VTK,,
2024,352000000000,36900000000,29520000000,,,VTK,,
2023,280000000000,30805000000,24644000000,,18.8,VTK,,
2022,168000000000,22479000000,17984000000,,15,VTK,,
2021,145000000000,21720000000,17370000000,,,VTK,,
2020,136000000000,20340000000,16272000000,,15,VTK,,
2019,115000000000,19550000000,15640000000,,15,VTK,115000000000,
2025,500000000000,,,,5,PTD,,
2024,500000000000,,,,5,PTD,,
2023,500000000000,,,,5,PTD,,
2022,500000000000,,,,5,PTD,,
2021,300000000000,,,,5,PTD,,
2020,500000000000,,,,8,PTD,,
2019,500000000000,,,,15,PTD,,
2025,616000000000,50000000000,,,,HUG,,
2024,550000000000,55000000000,,,15,HUG,,
2023,750000000000,70000000000,,15,,HUG,,
2022,750000000000,80000000000,,,,HUG,,
2021,515000000000,50000000000,,15,,HUG,,
2020,,39000000000,,,,HUG,,
2019,550000000000,65000000000,,,30,HUG,,
2025,7320000000,407000000,,,,BHC,,
2024,7320000000,126000000,,,,BHC,,
2023,10800000000,320000000,,,,BHC,,
2022,11160000000,250000000,,,,BHC,,
2019,12000000000,500000000,,,,BHC,,
2025,254830000000,1070000000,800000000,,,HBH,,
2024,466570000000,1268000000,964000000,,,HBH,,
2023,587600000000,663000000,495000000,,,HBH,,
2022,582800000000,7110000000,5660000000,,,HBH,,
2021,473213000000,2810000000,,,,HBH,,
2020,461322000000,3218000000,2575000000,,,HBH,,
2019,543059000000,1457000000,,,,HBH,,
