Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Cash Cycle,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
DCV,2021,2,0.0,0.05071266606367879,1.1933838995353472,0.0,0.0,0.0,0.0,0.35653775432479307,1,0.17750734370767973,0.0,0.0,0.0,0.0,92904381044,0.0,0.0,0.0,,1.3830445885144478,0.0,22951203.0,0.0,0.0,0.0,0.0,2015.3085174228122,14208.2165428104,0.0,quarter,DCV
DCV,2021,1,0.1108950365,0.03315361378923277,1.0451401159951095,0.3484620898,9.9476324661,0.0,0.0,0.2988240159429165,1,0.357605392547164,0.1421335499,0.0873093138,0.1328177053,28471188507.0,13161130852,3.3450116609,2.5666604109,3.3450116609,,1.1108950364609662,0.0,22951203.0,0.0,0.0,0.0,0.0,686.2404504025344,14208.2165428104,0.0,quarter,DCV
DCV,2020,4,0.0611720289,0.03746840177177289,0.9946610553914643,0.2836928542,8.080415495,40.08271421773092,40.08271421773092,0.2829011913749084,1,0.3831415764093055,0.0814352796,0.0633905679,0.0760643875,19672984979.0,8382391523,9.4302906481,8.3625886543,9.4302906481,,1.061172028886896,0.0,22951203.0,0.0,0.0,0.0,0.0,494.6374482418198,13521.9760924079,0.0,quarter,DCV
DCV,2020,3,0.0461368504,0.03870992546010398,0.9582760919111201,0.2688706711,6.9994735771,78.90815476151569,78.90815476151569,0.2683428051694387,1,0.4258629727208756,0.0188754179,0.0449183762,0.0178345696,16800002803.0,5980667449,14.2447151626,12.8277204375,14.2447151626,,1.0461368503799595,0.0,22951203.0,0.0,0.0,0.0,0.0,413.5462871815477,13027.3386441661,0.0,quarter,DCV
DCV,2020,2,0.0,0.0411235059431613,0.9278561012492395,0.0,0.0,0.0,0.0,0.05193285168994706,1,0.3801564237513018,0.0,0.0,0.0,0.0,946998683,0.0,0.0,0.0,,1.0586374940393861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2020,1,0.0,0.04460489777998794,0.9056384045546024,0.0,0.0,0.0,0.0,0.21366914755088953,1,-0.17100678231976973,0.0,0.0,0.0,0.0,4362927324,0.0,0.0,0.0,,1.0503004447100082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2019,4,0.0808487883,0.03831143480162435,0.9168296647401667,0.2958090259,9.4003397219,144.9124580460315,144.9124580460315,0.10009297226027204,1,-0.34950833712411544,0.019473475,0.0246366166,0.0176825792,9742935942.0,2139690797,12.5987050304,6.0303832637,12.5987050304,,1.078821251106024,0.0,22951203.0,0.0,0.0,0.0,0.0,-325.5363715357317,12463.8928409112,0.0,quarter,DCV
DCV,2019,3,0.0760820423,0.03441590948633815,0.9407757469301685,0.3120858695,10.1729235126,166.99034309554753,166.99034309554753,0.17511848286472032,1,0.31776140195257485,0.0538658048,0.0808974936,0.0497097944,26229172777.0,4052713932,13.0498677211,8.1803226186,13.0498677211,,1.0760820422925672,0.0,22951203.0,0.0,0.0,0.0,0.0,320.41264860931255,0.0,0.0,quarter,DCV
DCV,2019,2,0.0669017269,0.03782728945879204,0.9172065599231413,0.3139490726,11.1103996739,166.6694388741161,166.6694388741161,0.22246334389154462,1,0.023692053514177504,0.0480011563,0.0944055388,0.0433759549,29260902487.0,5426365985,14.633424315,11.5709133236,14.633424315,,1.0669017268617471,0.0,22951203.0,0.0,0.0,0.0,0.0,25.179544619077266,0.0,0.0,quarter,DCV
DCV,2019,1,0.0702491353,0.02912385712606003,0.9153543814949343,0.3445315749,13.7587682887,153.79659242912635,153.79659242912635,0.2322061054048488,1,0.21628490781475995,0.0708803233,0.122390058,0.0632689679,37006359563.0,5428812717,10.0374308323,6.8963919089,10.0374308323,,1.0702491352787762,0.0,22951203.0,0.0,0.0,0.0,0.0,220.31901774386293,0.0,0.0,quarter,DCV
