stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
CTG,Ngân hàng,4.49,STOCK,2026-02-06,66,PHVSF
ACB,Ngân hàng,4.28,STOCK,2026-02-06,66,PHVSF
TCB,Ngân hàng,4.23,STOCK,2026-02-06,66,PHVSF
MBB,Ngân hàng,4.21,STOCK,2026-02-06,66,PHVSF
HPG,Vật liệu xây dựng,4.1,STOCK,2026-02-06,66,PHVSF
MSN,Thực phẩm - Đồ uống,4.04,STOCK,2026-02-06,66,PHVSF
VCB,Ngân hàng,3.98,STOCK,2026-02-06,66,PHVSF
VNM,Thực phẩm - Đồ uống,3.49,STOCK,2026-02-06,66,PHVSF
NT2,Tiện ích,3.46,STOCK,2026-02-06,66,PHVSF
NVL122001,Bất động sản,61.4,BOND,2026-02-05,48,MBBOND
VIC124004,Bất động sản,8.84,BOND,2026-02-05,48,MBBOND
VDS12504,Chứng khoán,5.31,BOND,2026-02-05,48,MBBOND
MSN123008,Thực phẩm - Đồ uống,12.23,BOND,2026-02-06,33,VCBF-FIF
TNG124027,Sản xuất Hàng gia dụng,9.55,BOND,2026-02-06,33,VCBF-FIF
VHM121025,Bất động sản,7.75,BOND,2026-02-06,33,VCBF-FIF
DSE125018,Chứng khoán,6.34,BOND,2026-02-06,33,VCBF-FIF
MML121021,Thực phẩm - Đồ uống,5.08,BOND,2026-02-06,33,VCBF-FIF
BCM12406,Bất động sản,4.99,UNLISTED_BOND,2026-02-06,33,VCBF-FIF
TNG122017,Sản xuất Hàng gia dụng,4.3,BOND,2026-02-06,33,VCBF-FIF
NLG12501,Bất động sản,1.88,UNLISTED_BOND,2026-02-06,33,VCBF-FIF
HDC12501,Bất động sản,1.57,UNLISTED_BOND,2026-02-06,33,VCBF-FIF
VDS12501,Chứng khoán,0.79,UNLISTED_BOND,2026-02-06,33,VCBF-FIF
CVT122009,Vật liệu xây dựng,18.4,BOND,2026-02-06,37,VNDBF
VIC124003,Bất động sản,13.05,BOND,2026-02-06,37,VNDBF
NPM123022,Khác,10.47,BOND,2026-02-06,37,VNDBF
NLG12501,Bất động sản,9.13,BOND,2026-02-06,37,VNDBF
HDB124006,Ngân hàng,8.84,BOND,2026-02-06,37,VNDBF
VHM121025,Bất động sản,7.55,BOND,2026-02-06,37,VNDBF
MSN123008,Thực phẩm - Đồ uống,6.54,BOND,2026-02-06,37,VNDBF
VBA123036,Ngân hàng,5.32,BOND,2026-02-06,37,VNDBF
HDB124018,Ngân hàng,4.83,BOND,2026-02-06,37,VNDBF
MML121021,Thực phẩm - Đồ uống,3.93,BOND,2026-02-06,37,VNDBF
VIC123029,Bất động sản,14.93,BOND,2026-02-06,50,MAFF
VHM121025,Bất động sản,13.0,BOND,2026-02-06,50,MAFF
BVB125003,Ngân hàng,10.35,BOND,2026-02-06,50,MAFF
MML121021,Thực phẩm - Đồ uống,8.14,BOND,2026-02-06,50,MAFF
HDB124006,Ngân hàng,6.91,BOND,2026-02-06,50,MAFF
LPB121036,Ngân hàng,5.95,BOND,2026-02-06,50,MAFF
NLG12501,Bất động sản,5.49,BOND,2026-02-06,50,MAFF
MSN123010,Thực phẩm - Đồ uống,3.65,BOND,2026-02-06,50,MAFF
