industry,net_asset_percent,short_name,fund
Chế biến thủy sản,4.49,TBLF,TBLF
Thực phẩm - Đồ uống,3.92,TBLF,TBLF
"Dịch vụ tư vấn, hỗ trợ",3.86,TBLF,TBLF
Bán lẻ,2.58,TBLF,TBLF
Sản xuất Phụ trợ,2.14,TBLF,TBLF
Vận tải - Kho bãi,1.65,TBLF,TBLF
Ngân hàng,25.09,VNDAF,VNDAF
Khai khoáng,23.44,VNDAF,VNDAF
Vận tải - Kho bãi,7.88,VNDAF,VNDAF
Tiện ích,7.07,VNDAF,VNDAF
Bất động sản,5.78,VNDAF,VNDAF
Sản xuất Phụ trợ,5.13,VNDAF,VNDAF
Công nghệ và thông tin,4.46,VNDAF,VNDAF
Thực phẩm - Đồ uống,4.27,VNDAF,VNDAF
Bảo hiểm,3.98,VNDAF,VNDAF
Xây dựng,1.86,VNDAF,VNDAF
Bán lẻ,0.02,VNDAF,VNDAF
Vật liệu xây dựng,0.01,VNDAF,VNDAF
Thiết bị điện,0.01,VNDAF,VNDAF
Ngân hàng,29.96,DCAF,DCAF
Sản xuất Nhựa - Hóa chất,10.29,DCAF,DCAF
Thực phẩm - Đồ uống,8.98,DCAF,DCAF
Tiện ích,5.99,DCAF,DCAF
Vật liệu xây dựng,5.78,DCAF,DCAF
Bán lẻ,5.54,DCAF,DCAF
Vận tải - Kho bãi,5.51,DCAF,DCAF
Công nghệ và thông tin,5.38,DCAF,DCAF
Sản xuất Phụ trợ,3.4,DCAF,DCAF
Bất động sản,2.98,DCAF,DCAF
Chứng khoán,1.89,DCAF,DCAF
Chế biến thủy sản,1.6,DCAF,DCAF
Thiết bị điện,0.96,DCAF,DCAF
Xây dựng,0.12,DCAF,DCAF
Ngân hàng,16.97,VIBF,VIBF
Thực phẩm - Đồ uống,16.71,VIBF,VIBF
Bất động sản,8.53,VIBF,VIBF
Sản xuất Phụ trợ,5.82,VIBF,VIBF
Chứng khoán,5.77,VIBF,VIBF
Xây dựng,4.09,VIBF,VIBF
Vật liệu xây dựng,3.99,VIBF,VIBF
Sản xuất Nhựa - Hóa chất,3.48,VIBF,VIBF
Bán lẻ,2.9,VIBF,VIBF
Tiện ích,2.54,VIBF,VIBF
Khác,2.3,VIBF,VIBF
Công nghệ và thông tin,1.98,VIBF,VIBF
Khai khoáng,1.17,VIBF,VIBF
"Sản xuất Thiết bị, máy móc",0.92,VIBF,VIBF
Vận tải - Kho bãi,0.57,VIBF,VIBF
Ngân hàng,18.78,MAFBAL,MAFBAL
Bất động sản,15.04,MAFBAL,MAFBAL
Thực phẩm - Đồ uống,7.03,MAFBAL,MAFBAL
Vật liệu xây dựng,4.01,MAFBAL,MAFBAL
Bán lẻ,3.85,MAFBAL,MAFBAL
Chứng khoán,2.52,MAFBAL,MAFBAL
Xây dựng,2.51,MAFBAL,MAFBAL
Công nghệ và thông tin,1.94,MAFBAL,MAFBAL
Khai khoáng,1.93,MAFBAL,MAFBAL
Sản xuất Phụ trợ,1.75,MAFBAL,MAFBAL
Bảo hiểm,1.28,MAFBAL,MAFBAL
Thiết bị điện,0.94,MAFBAL,MAFBAL
Vận tải - Kho bãi,0.76,MAFBAL,MAFBAL
Ngân hàng,35.11,PHVSF,PHVSF
Thực phẩm - Đồ uống,7.53,PHVSF,PHVSF
Vận tải - Kho bãi,7.04,PHVSF,PHVSF
Bán lẻ,5.56,PHVSF,PHVSF
Công nghệ và thông tin,5.07,PHVSF,PHVSF
Sản xuất Phụ trợ,4.27,PHVSF,PHVSF
Tiện ích,4.27,PHVSF,PHVSF
Vật liệu xây dựng,4.1,PHVSF,PHVSF
Bất động sản,3.63,PHVSF,PHVSF
Xây dựng,3.32,PHVSF,PHVSF
Khai khoáng,2.34,PHVSF,PHVSF
Sản xuất Nhựa - Hóa chất,1.96,PHVSF,PHVSF
Bảo hiểm,1.77,PHVSF,PHVSF
Thiết bị điện,1.42,PHVSF,PHVSF
Chứng khoán,1.16,PHVSF,PHVSF
Khác,1.02,PHVSF,PHVSF
Chế biến thủy sản,0.64,PHVSF,PHVSF
Ngân hàng,25.9,NTPPF,NTPPF
Chứng khoán,9.9,NTPPF,NTPPF
Công nghệ và thông tin,7.0,NTPPF,NTPPF
Bán lẻ,5.2,NTPPF,NTPPF
Sản xuất Phụ trợ,4.9,NTPPF,NTPPF
Vật liệu xây dựng,4.6,NTPPF,NTPPF
Vận tải - Kho bãi,4.6,NTPPF,NTPPF
Bất động sản,47.4,PBIF,PBIF
Thực phẩm - Đồ uống,16.26,PBIF,PBIF
Ngân hàng,2.99,PBIF,PBIF
Vật liệu xây dựng,2.95,PBIF,PBIF
Ngân hàng,35.48,VDEF,VDEF
Sản xuất Nhựa - Hóa chất,7.85,VDEF,VDEF
Bất động sản,7.04,VDEF,VDEF
Chứng khoán,6.18,VDEF,VDEF
Vận tải - Kho bãi,5.83,VDEF,VDEF
Vật liệu xây dựng,5.78,VDEF,VDEF
Bán lẻ,4.55,VDEF,VDEF
Thiết bị điện,4.05,VDEF,VDEF
Tiện ích,3.86,VDEF,VDEF
Sản xuất Phụ trợ,3.59,VDEF,VDEF
Xây dựng,3.01,VDEF,VDEF
Sản xuất Hàng gia dụng,2.39,VDEF,VDEF
Công nghệ và thông tin,2.38,VDEF,VDEF
Khai khoáng,2.06,VDEF,VDEF
Ngân hàng,28.75,VCBF-AIF,VCBF-AIF
Thực phẩm - Đồ uống,9.99,VCBF-AIF,VCBF-AIF
Sản xuất Phụ trợ,7.58,VCBF-AIF,VCBF-AIF
Công nghệ và thông tin,6.8,VCBF-AIF,VCBF-AIF
Sản xuất Nhựa - Hóa chất,6.18,VCBF-AIF,VCBF-AIF
Bất động sản,5.45,VCBF-AIF,VCBF-AIF
Bảo hiểm,4.84,VCBF-AIF,VCBF-AIF
Tiện ích,4.44,VCBF-AIF,VCBF-AIF
Vật liệu xây dựng,3.47,VCBF-AIF,VCBF-AIF
Bán lẻ,3.19,VCBF-AIF,VCBF-AIF
Vận tải - Kho bãi,2.94,VCBF-AIF,VCBF-AIF
Xây dựng,2.38,VCBF-AIF,VCBF-AIF
Khai khoáng,1.96,VCBF-AIF,VCBF-AIF
Chứng khoán,1.65,VCBF-AIF,VCBF-AIF
Bán buôn,1.06,VCBF-AIF,VCBF-AIF
Chăm sóc sức khỏe,0.87,VCBF-AIF,VCBF-AIF
Sản xuất,0.83,VCBF-AIF,VCBF-AIF
Ngân hàng,28.58,VMEEF,VMEEF
Công nghệ và thông tin,8.44,VMEEF,VMEEF
Bất động sản,7.73,VMEEF,VMEEF
Bán lẻ,6.25,VMEEF,VMEEF
Sản xuất Phụ trợ,5.9,VMEEF,VMEEF
Tiện ích,5.32,VMEEF,VMEEF
Vận tải - Kho bãi,5.24,VMEEF,VMEEF
Chứng khoán,4.93,VMEEF,VMEEF
Vật liệu xây dựng,4.65,VMEEF,VMEEF
Bảo hiểm,4.52,VMEEF,VMEEF
Thiết bị điện,2.89,VMEEF,VMEEF
Bán buôn,2.24,VMEEF,VMEEF
Thực phẩm - Đồ uống,1.92,VMEEF,VMEEF
Chế biến thủy sản,1.0,VMEEF,VMEEF
Sản xuất Nhựa - Hóa chất,0.77,VMEEF,VMEEF
Khai khoáng,0.65,VMEEF,VMEEF
Ngân hàng,31.54,KDEF,KDEF
Thực phẩm - Đồ uống,7.53,KDEF,KDEF
Sản xuất Phụ trợ,6.47,KDEF,KDEF
Công nghệ và thông tin,6.05,KDEF,KDEF
Tiện ích,5.56,KDEF,KDEF
Xây dựng,5.14,KDEF,KDEF
Khai khoáng,4.79,KDEF,KDEF
Bảo hiểm,4.57,KDEF,KDEF
Sản xuất Nhựa - Hóa chất,3.87,KDEF,KDEF
Bán lẻ,3.38,KDEF,KDEF
Vật liệu xây dựng,3.12,KDEF,KDEF
Bất động sản,3.0,KDEF,KDEF
Bán buôn,2.85,KDEF,KDEF
Vận tải - Kho bãi,2.74,KDEF,KDEF
Chứng khoán,2.16,KDEF,KDEF
Bất động sản,18.69,UVDIF,UVDIF
Ngân hàng,17.45,UVDIF,UVDIF
Nông - Lâm - Ngư,8.76,UVDIF,UVDIF
Sản xuất Nhựa - Hóa chất,8.39,UVDIF,UVDIF
Thực phẩm - Đồ uống,6.81,UVDIF,UVDIF
Chứng khoán,4.69,UVDIF,UVDIF
Sản xuất Hàng gia dụng,3.63,UVDIF,UVDIF
Tiện ích,2.24,UVDIF,UVDIF
Công nghệ và thông tin,2.23,UVDIF,UVDIF
Sản xuất Phụ trợ,1.89,UVDIF,UVDIF
Vận tải - Kho bãi,1.54,UVDIF,UVDIF
Khai khoáng,1.44,UVDIF,UVDIF
Bảo hiểm,1.36,UVDIF,UVDIF
Bán lẻ,1.35,UVDIF,UVDIF
Vật liệu xây dựng,0.95,UVDIF,UVDIF
Thiết bị điện,0.94,UVDIF,UVDIF
"Sản xuất Thiết bị, máy móc",0.47,UVDIF,UVDIF
Xây dựng,0.01,UVDIF,UVDIF
Ngân hàng,36.32,EVESG,EVESG
Bất động sản,10.27,EVESG,EVESG
Tiện ích,5.02,EVESG,EVESG
Công nghệ và thông tin,4.83,EVESG,EVESG
Bán lẻ,4.59,EVESG,EVESG
Thực phẩm - Đồ uống,4.56,EVESG,EVESG
Chứng khoán,4.52,EVESG,EVESG
Vật liệu xây dựng,4.37,EVESG,EVESG
Sản xuất Phụ trợ,3.84,EVESG,EVESG
Sản xuất Nhựa - Hóa chất,3.33,EVESG,EVESG
Khai khoáng,3.11,EVESG,EVESG
Vận tải - Kho bãi,2.25,EVESG,EVESG
Bán buôn,1.89,EVESG,EVESG
Thiết bị điện,1.65,EVESG,EVESG
Sản xuất,1.19,EVESG,EVESG
Xây dựng,0.96,EVESG,EVESG
Chăm sóc sức khỏe,0.06,EVESG,EVESG
Ngân hàng,19.26,MDI,MDI
Bất động sản,5.3,MDI,MDI
Bán lẻ,4.63,MDI,MDI
Vật liệu xây dựng,4.08,MDI,MDI
Xây dựng,3.39,MDI,MDI
Thực phẩm - Đồ uống,3.02,MDI,MDI
Chứng khoán,2.99,MDI,MDI
Khai khoáng,2.25,MDI,MDI
Sản xuất Phụ trợ,2.09,MDI,MDI
Công nghệ và thông tin,1.98,MDI,MDI
Bảo hiểm,1.84,MDI,MDI
Sản xuất Nhựa - Hóa chất,1.15,MDI,MDI
Thiết bị điện,0.93,MDI,MDI
Vận tải - Kho bãi,0.86,MDI,MDI
Tiện ích,0.77,MDI,MDI
Sản xuất,0.44,MDI,MDI
Ngân hàng,22.01,VCAMDF,VCAMDF
Chứng khoán,9.48,VCAMDF,VCAMDF
Tiện ích,8.48,VCAMDF,VCAMDF
Sản xuất Nhựa - Hóa chất,7.02,VCAMDF,VCAMDF
Tài chính khác,6.21,VCAMDF,VCAMDF
Sản xuất Phụ trợ,5.89,VCAMDF,VCAMDF
Xây dựng,5.88,VCAMDF,VCAMDF
Bán lẻ,4.03,VCAMDF,VCAMDF
Khai khoáng,3.75,VCAMDF,VCAMDF
Công nghệ và thông tin,3.62,VCAMDF,VCAMDF
Thực phẩm - Đồ uống,3.49,VCAMDF,VCAMDF
Ngân hàng,38.96,BMFF,BMFF
Chứng khoán,6.99,BMFF,BMFF
Vận tải - Kho bãi,5.6,BMFF,BMFF
Thực phẩm - Đồ uống,3.54,BMFF,BMFF
Bất động sản,3.46,BMFF,BMFF
Vật liệu xây dựng,3.14,BMFF,BMFF
Sản xuất Nhựa - Hóa chất,2.98,BMFF,BMFF
"Sản xuất Thiết bị, máy móc",1.82,BMFF,BMFF
Thiết bị điện,1.21,BMFF,BMFF
Xây dựng,0.65,BMFF,BMFF
Tiện ích,0.16,BMFF,BMFF
Ngân hàng,21.69,RVPIF,RVPIF
Bất động sản,16.24,RVPIF,RVPIF
Công nghệ và thông tin,8.6,RVPIF,RVPIF
Vật liệu xây dựng,7.65,RVPIF,RVPIF
Bán lẻ,6.13,RVPIF,RVPIF
Chứng khoán,5.79,RVPIF,RVPIF
Sản xuất Nhựa - Hóa chất,5.71,RVPIF,RVPIF
Thực phẩm - Đồ uống,3.88,RVPIF,RVPIF
Vận tải - Kho bãi,2.53,RVPIF,RVPIF
Thiết bị điện,2.46,RVPIF,RVPIF
Tiện ích,2.42,RVPIF,RVPIF
Bán buôn,2.21,RVPIF,RVPIF
Nguyên vật liệu/hóa chất,1.16,RVPIF,RVPIF
Ngân hàng,31.79,TCGF,TCGF
Thực phẩm - Đồ uống,10.98,TCGF,TCGF
Chứng khoán,9.71,TCGF,TCGF
Bất động sản,9.55,TCGF,TCGF
Khác,9.42,TCGF,TCGF
Vật liệu xây dựng,9.03,TCGF,TCGF
Bán lẻ,5.64,TCGF,TCGF
Sản xuất Nhựa - Hóa chất,3.45,TCGF,TCGF
Chế biến thủy sản,1.27,TCGF,TCGF
Ngân hàng,24.65,LHCDF,LHCDF
Sản xuất Nhựa - Hóa chất,9.88,LHCDF,LHCDF
Bất động sản,9.86,LHCDF,LHCDF
Chăm sóc sức khỏe,9.85,LHCDF,LHCDF
Xây dựng,9.36,LHCDF,LHCDF
Vật liệu xây dựng,7.06,LHCDF,LHCDF
Vận tải - Kho bãi,5.05,LHCDF,LHCDF
Chứng khoán,3.45,LHCDF,LHCDF
Bán buôn,3.32,LHCDF,LHCDF
Thực phẩm - Đồ uống,3.23,LHCDF,LHCDF
Bán lẻ,2.63,LHCDF,LHCDF
Tài chính khác,1.72,LHCDF,LHCDF
Sản xuất Hàng gia dụng,0.62,LHCDF,LHCDF
Bất động sản,14.87,GDEGF,GDEGF
Vật liệu xây dựng,9.01,GDEGF,GDEGF
Ngân hàng,8.56,GDEGF,GDEGF
