time,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d
2025-09-04,2456.73,2547.1,2379.76,2545.07,238141672,VNMAT,2431.7709999999997,2311.5296,2127.0070229007633,66.01089315689177,30.929777733522315,31.564185198834583,-0.6344074653122682,2574.0749437852664,2289.467056214733,4.425123706518108,2.150308473305184
2025-09-05,2560.16,2567.32,2479.99,2483.46,189536168,VNMAT,2436.0485,2319.6356,2129.707424242424,58.896516881917485,34.06114217524873,32.063576594117414,1.9975655811313189,2579.2073769643093,2292.8896230356904,-2.420758564597447,2.1790839684760077
2025-09-08,2478.8,2530.81,2467.2,2472.03,241955134,VNMAT,2435.161,2327.3922000000002,2132.2812781954885,57.655041208860574,35.2145343483935,32.69376814497264,2.5207662034208624,2577.132491118902,2293.189508881098,-0.4602449807929232,2.006964988376154
2025-09-09,2489.59,2491.5,2425.99,2465.11,134852494,VNMAT,2434.692,2334.9374000000003,2134.765074626866,56.873409065037436,35.164861158140866,33.18798674760628,1.9768744105345846,2576.177590503055,2293.206409496945,-0.279931877849382,2.0031172128962282
2025-09-10,2471.69,2490.0,2438.45,2464.47,100849604,VNMAT,2433.6865,2342.3768,2137.2073333333333,56.79671761931265,34.674150126938,33.48521942347263,1.188930703465374,2573.9599282186355,2293.413071781364,-0.025962330281426027,2.000816527831907
2025-09-11,2459.01,2496.0,2403.74,2496.0,148956826,VNMAT,2432.8075,2350.5224000000003,2139.845514705882,59.68123750670387,36.40975658252637,34.07012685528338,2.3396297272429933,2571.1804231004626,2294.434576899537,1.2793825853023355,2.004478890954898
2025-09-12,2506.08,2557.85,2496.0,2554.6,171858407,VNMAT,2436.095,2359.3212,2142.8729197080293,64.43403894784393,42.029280083827416,35.66195750099219,6.367322582835229,2582.9390353429026,2289.250964657097,2.3477564102563964,2.0575545970082727
2025-09-15,2576.6,2612.27,2554.6,2588.83,152814755,VNMAT,2441.2275,2368.6944,2146.104492753623,66.88933753418948,48.68367279756649,38.266300560307045,10.417372237259443,2601.961135673558,2280.493864326442,1.3399358020825147,2.0733997186301245
2025-09-16,2600.87,2605.98,2548.25,2560.78,133492946,VNMAT,2446.105,2377.4210000000003,2149.087769784173,63.04825627540502,51.10482181491079,40.8340048112278,10.270817003682993,2615.345142618949,2276.864857381051,-1.0835010410107926,2.0783697557981884
2025-09-17,2559.91,2585.59,2508.09,2511.36,180434187,VNMAT,2446.8125,2384.6492,2151.6754285714287,56.853703990543906,48.47700612405697,42.36260507379363,6.114401050263339,2617.0674517171483,2276.5575482828517,-1.9298807394621975,2.112225921791881
2025-09-18,2521.28,2527.29,2477.67,2506.83,122418467,VNMAT,2448.431,2390.5104,2154.194255319149,56.307589222208186,45.50436413123316,42.990956885281534,2.513407245951626,2620.3994065108845,2276.4625934891155,-0.18038035168196354,2.101030455266945
2025-09-19,2519.41,2524.62,2475.34,2499.1,80250966,VNMAT,2452.9645,2396.2094,2156.6231690140844,55.33089453821271,42.0401646880664,42.80079844583851,-0.7606337577721121,2625.273033615837,2280.655966384163,-0.3083575671266159,2.002140585526118
2025-09-22,2504.0,2519.71,2430.8,2438.86,147256642,VNMAT,2455.129,2400.2630000000004,2158.596853146853,48.29973728081696,34.04148803386988,41.04893636344479,-7.007448329574906,2625.4783025521324,2284.7796974478674,-2.410467768396618,2.080955484820408
2025-09-23,2448.37,2466.18,2438.47,2450.66,53154813,VNMAT,2462.4555,2403.627,2160.6250694444443,49.64946127657894,28.328091931193285,38.50476747699449,-10.176675545801203,2617.364930309924,2307.546069690076,0.4838326103179247,1.8647675883990753
2025-09-24,2453.97,2483.74,2425.74,2483.66,62231120,VNMAT,2472.2505,2407.7926,2162.852896551724,53.31976393703538,26.16143581734468,36.03610114506453,-9.874665327719846,2603.637992551404,2340.8630074485964,1.3465760244179226,1.8613695924357478
2025-09-25,2490.8,2502.77,2470.95,2472.67,68414218,VNMAT,2477.0550000000003,2412.1456,2164.9749315068493,51.96130583123514,23.28908204361869,33.48669732477536,-10.197615281156672,2600.4997370070296,2353.610262992971,-0.44249212855220765,1.6814545878669043
2025-09-26,2478.52,2498.14,2450.33,2453.18,89046013,VNMAT,2482.2844999999998,2415.4556,2166.9355102040818,49.5502741172687,19.21850194119952,30.633058248060195,-11.414556306860675,2590.7699302077754,2373.799069792224,-0.7882167859035061,1.6667047182213584
2025-09-29,2455.35,2463.83,2437.03,2444.57,68280800,VNMAT,2485.922,2418.5878,2168.811418918919,48.48008089107524,15.123449132282076,27.531136424904574,-12.407687292622498,2583.1017253275318,2388.7422746724683,-0.35097302277042886,1.6615603314701228
2025-09-30,2441.61,2445.21,2381.94,2404.77,113963095,VNMAT,2486.6615,2421.0148,2170.395033557047,43.77363223477969,8.567798650853547,23.73846887009437,-15.170670219240822,2580.9492598295874,2392.373740170413,-1.628098193138272,1.7016845426410476
2025-10-01,2415.92,2427.74,2402.57,2414.86,53670880,VNMAT,2485.5435,2423.2668,2172.0247999999997,45.22541573725623,4.138866807559225,19.81854845758734,-15.679681650028115,2582.7836886323803,2388.30331136762,0.4195827459590795,1.6432538894001796
2025-10-02,2418.7,2436.75,2387.5,2389.59,65412360,VNMAT,2477.7695,2424.6569999999997,2173.465629139073,42.280957487062686,-1.3941010674730023,15.576018552575272,-16.970119620048273,2579.718224258288,2375.8207757417117,-1.0464374746362082,1.2764424578341376
2025-10-03,2388.26,2398.76,2344.42,2357.72,96542968,VNMAT,2471.4825,2424.9504,2174.6778289473687,38.84593258342099,-8.255496398993728,10.809715562261472,-19.0652119612552,2586.6101633042317,2356.3548366957684,-1.3337015973451605,1.2027098715862015
2025-10-06,2394.41,2461.38,2357.72,2461.29,104408511,VNMAT,2470.9455,2427.785,2176.5511111111114,52.38443469921932,-5.275159449057355,7.592740559997707,-12.867900009055063,2586.1625669877553,2355.7284330122443,4.392803216666952,1.5868299489865043
2025-10-07,2464.82,2473.97,2441.77,2442.61,67068821,VNMAT,2469.8205000000003,2430.1715999999997,2178.278766233766,50.22474866147842,-4.370164295129598,5.200159588972246,-9.570323884101844,2585.714875227927,2353.9261247720733,-0.7589516066777935,1.594715270631152
2025-10-08,2464.32,2513.6,2429.54,2461.52,89361667,VNMAT,2469.673,2432.375,2180.106129032258,52.365703257274916,-2.1028300372640842,3.73956166372498,-5.842391700989064,2585.6035507348342,2353.7424492651653,0.7741718899046512,1.6049280950997908
2025-10-09,2472.82,2478.77,2440.76,2450.08,71649696,VNMAT,2467.377,2436.1066,2181.836730769231,50.93826502998285,-1.215057270705529,2.7486378768388784,-3.9636951475444073,2582.9304346388717,2351.823565361128,-0.46475348565114816,1.5792827358304813
2025-10-10,2460.46,2498.27,2450.08,2488.2,97919069,VNMAT,2464.0570000000002,2440.0607999999997,2183.788089171974,55.3098025216533,2.5352496805376177,2.7059602375786262,-0.17071055704100857,2572.665548485874,2355.4484515141266,1.5558675635081176,1.5241485210760592
2025-10-13,2447.37,2488.2,2439.52,2456.5,130404190,VNMAT,2457.4405,2443.9102,2185.5141139240504,51.22244468146929,2.915857694411443,2.7479397289451897,0.16791796546625326,2548.7968008456915,2366.084199154309,-1.2740133429788525,1.5042523876245242
2025-10-14,2467.22,2473.21,2408.66,2412.03,138424578,VNMAT,2450.003,2446.8462,2186.938742138365,46.07812549692446,-0.3666386787008378,2.1250240474159843,-2.491662726116822,2529.3690516315187,2370.6369483684816,-1.81029920618766,1.5339000300199122
2025-10-15,2420.16,2434.45,2394.16,2396.86,75374762,VNMAT,2444.2780000000002,2449.0974,2188.25075,44.43855291233883,-4.144359327962775,0.8711473723402324,-5.015506700303007,2521.4982492123604,2367.05775078764,-0.6289308176100628,1.4874778850406365
